query	clarifying_question	flag
I'm looking for information about mayo clinic Jacksonville FL	which department are you interested in at mayo clinic jacksonville fl	1
i looking for current positions	do you want the middle names of all of the presidents	0
would you like to find an app for wedding budgeting	are you looking for webmd websites or mayo clinic websites about angular cheilits	0
How to use wiki?	would would you like to know about the most popular wikibased website	1
would you like to know the home port of the uss carl vinson	are you looking for a specific product in flushing queens	0
are you interested in learning more about satellite phones or radio	what kind of information are you seeking	0
tell me about mgb	are you looking for how to use mgb	1
do you want to know the cost of the commonly used drug	are you looking for directions to bellevue	0
Tell me more about indiana state fairgrounds.	do you want to know the size of the indiana state fairgrounds	1
I'd like to learn about lymphoma in dogs	are you looking for treatment options	1
do you need to identify a moth	do you need a home appraisal	0
would you like to place an order	do you want to know how many square miles afghanistan is	0
which of the capital gains tax rate are you interested in	do you want to know if the tennessee highway patrol has reported any accidents	0
How to change the toilet in the house	what brand is your toilet	1
are you looking for some fun facts	would you like to know what distinguishes gmat from gre	0
do you want to know about short term or long term capital gains tax rate	are you interested in the history of theories of evolution	0
would you like to know where the observatories are located	are you seeking a local occupational therapist	0
I'd like to learn about moths	do you need to identify a moth	1
would you like to know how butter and margarine affect the food you eat	do you need information about a specific employer	0
are you looking for a second hand music store near you	would you like to know more about the short story by g k chesterton	0
would you like to know why dogs heat up	would you like to know about its benefit for a pregnant woman	0
are you looking for activities that involve plants	are you interested in the suns size	0
are you looking for the nearest location to buy a pressure washer	what type of appraisals do you need informatiom about	0
Tell me about atypical squamous cells	would you like to know if there is a cure	1
are you interested in tornado safety	are you interested how long you swould be running for weight loss	0
Tell me about Korean language.	are you looking for books on the korean language	1
Information about east ridge high school.	are you searching for east ridge high school located in clermont fl	1
i can give you a list of all movies he starred is that what you want	what would you like to know about ward cunningham inventor of th wiki	0
do you want some quotes from the movie	would you like to know about walkers method of perming hair	0
Where can I find cheap internet	are you looking for any bundles or deals	1
would you like to find an app for wedding budgeting	are you interested in signs you may have barretts esophagus	0
are you looking for information about the sports facilities at the school	are you interested in a map showing old town scottsdale	0
Tell me about Pocono	where in pocono are you interested in	1
are you interested in purchasing an afghanistan flag	are you trying to look up a speech	0
tell me about iron	would you like to figure out iron alloys used to make stainless steel	1
are you interested in moth life cycle	do you wnat sports scores	0
do you want to learn how to make furniture	are there famouss land surveyors	0
Tell me about defender	is your child playing soccer	1
Tell me information about Iowa's food stamp program	are you looking for more information on food stamps in iowa	1
I'm looking for information on hurricane Irene flooding in manville nj	are you seeking random facts about manville nj during hurricane irene	1
Find information about the gs pay rate	are you looking fro a gs base payscale table for 2018	1
are you referring to the philosopher aristotole	would you like to read about different types of diet pills	0
are you interested to fill a survey for them	are you interested in the history of roosevelt island	0
would you like to know about potential cures for wilsons disease	what year is the ford edge that you are having problems with	0
Tell me information about Volvo.	which part of volvo are you interested in	1
do you want to know how to use the bowflex power pro	are you inquiring about mister rogers the show or mister rogers the television personality	0
are you looking for furniture	would you like instructions on how to use a sewing machine	0
what are you interested in knowng about the life expectancy of larger dogs	do you want to know how many people were killed in the uss cole bombing	0
Tell me about furniture for small spaces.	are you looking for bedroom furniture	1
tell me about iron	are you looking for iron metal products	1
would you like to know specific products from the company bobcat	are you looking for revolutionary war videos	0
Give me information on OCD.	do you want to know more about the different types of ocd	1
where is basis of uss carl vilson	are you interested in buying a tv with a computer included	0
would you like to place an order	are you interested in the gt or the roadster	0
Find me information about diabetes education	are you looking for a specific web site	1
are you looking for golf ball sized gps technologies	would you like to see symptoms of this	0
do you want to know about specific african american musicians	are you looking for general information about teddy bears and are you looking to buy a teddy bear	0
Tell me about uplift at yellowstone national park	are you looking for a specific web site	1
what problem is your horse having with their hooves	are you trying to buy pampered chef	0
do you need to know the cause of it	would you like to see the signs of a heart attack in women or in men	0
are you interested in purchasing the book	are you interested in knowning the 50 states in the world	0
would you like more information about the officials in the maryland department of natural resources	are you looking for any specific details on the safety of afghanistan	0
are you looking for the college	are you referring to an indian tribe	0
would you like to know about symptoms causes and treatments	are you looking for a specific kind of maps and images	0
are you interested in an online site for diabetes	do you wish to hear about the rumoured curse of the bewitched cast	0
are you looking for information on the cast and crew for rain man	what revolutionary general would you like to know about	0
do you want to file your income tax return through the internal revenue online	are you interested in signs you may have barretts esophagus	0
Give me information about Alexian Brothers hospitals.	what is the doctors name at this facility that you want	1
do you wish to hear about the rumoured curse of the bewitched cast	do you want to know if designer dog breeds are healthier than purebreds	0
are you searching for possible health effects of this product	are you looking for physical locations of dmv offices	0
do you want to take a sat prep class	do you want to know how rice is grown	0
What are the best recepies for grilling	do you want to know about grilling meat	1
How to change the toilet in the house	do you need to know how to measure a toilet for installation	1
do you want to know how to use the bowflex power pro	do you want to know if pink slime used at school canteens	0
are you looking for furniture	do you want to know how much designer dog breeds cost	0
Tell me information about computer programming.	are you looking for computer programming schools near you	1
do you need to know the cause of it	are you searching for workers for your company	0
are you looking for a second hand music store near you	do you want to obtain forms from the dmv	0
are you interested in the cost for best long term care insurance or short term	are you interested in learning about the challenges of treating jehovahs witnesses	0
Tell me about madam cj walker	are you looking for any specific information about the business she started	1
are you looking for ron howard biographies	are you looking for academic articles about tooth abscesses	0
are you interested in pictures of worms	do you want to know about the geographical history of the island	0
do you need directions to culpeper national cemetery	are you interested in the history of the voyager	0
Find information about the sun.	are you looking for how hot the sun is	1
what is the best long term care insurance	would you like to find out the different types of payment options for the best long term care insurance	1
I'm looking for information about game and fish in Arizona.	do you need to find hunting and fishing grounds in arizona	1
Information about east ridge high school.	do you need directions to east ridge high school	1
How to prepare for the GMAT?	would you like to see the most effective methods of gmat prep	1
do you want to know about the signs based on any specific demographics	are you interested in the history of the last supper painting	0
are you interested in easy earth day activities	would you like a list of dinosaur movies	0
would you like to place an order	would you like to learn more about autism	0
are you interested in cultivated or wild bobcats	are you interested in cultivated or wild bobcats	0
Give me information about Disneyland hotel.	are you interested in staying here for certain dates	1
would you like to know what age men may start male menopause	are you interested in why they are needed	0
would you like to know more about ocd	would you like to know more about their responsibilities	0
do you want to file your income tax return through the internal revenue online	do you want to see a selfquiz to determine if you have a tooth abscess	0
are you looking for some fun facts	are you interested in electronic keyboard reviews	0
do you want reviews of french lick resort and casino	which team or teams will you need this stats for	0
I’m looking for information on worm	are you interested in pictures of worms	1
Tell me about avp	do you want an acronym meanining for avp	1
I'm looking for universal animal cuts reviews	did you want to know if anyone near you has tried it	1
do you want to know about specific african american musicians	are you interested in what can cause angular cheilitis	0
should there be anything else besides the flames	would you like a comparison of golf gps systems	0
Find information about penguins.	what kind of penguin are you looking for	1
are you interested in where they grow	do you owe child support in indiana	0
Who is the patron saint of mental illness?	are you interested in learning the back story of the patron saint of mental illness	1
all men are created equal	would you like to know more about the declaration of independence	1
are you wanting to renovate your home in order to have a theater system	would you like to know where to book a holiday? what country would you like your holiday to be in	0
Find me information about diabetes education	do you want to find some resoutces	1
to be or not to be that is the question	would some analysis of hamlet be interesting to you	1
i can show you his songs lyrics would that be okay	do you want to know the candidates for the 2008 results as well	0
are you looking for information on how its scored	are you looking for all the ingredients for chicken soup	0
did you want something online that does calculations for you	would you like to know if spaying would stop the heat of a female dog	0
would you like the legal definition of diversity	do you want to know who owns the company imclone	0
are you looking for a hotel near porterville	do you want results for the country norway	0
Give me espn sports information.	do you want information about a specific espn sports program	1
do you need traveling assistance or direction	do you want reviews of the les miserables concert	0
would you like to know the advantages and disadvantages of a indexed annuity	do you like to know facts about elvis presley	0
Tell me about Pocono	are you looking for the information about split rock restore	1
I'm interested in InuYasha	would you like to watch an inuyasha movie	1
would you like the legal definition of diversity	do you want to learn how to make furniture	0
Tell me more about satilies	are you talking about a spacecraft or a song	1
do you plan to sign up for coverage online	are you looking for stores that are currently open	0
tell me about iron	would you like to know how iron is mined	1
are you looking for east ridge high school in woodbury mn	do you want movie reviews	0
what year do you want to know the president for	would you like to know the history of solar water fountains	0
do you wish to know the location of native american houses	are you interested in objects orbiting the sun	0
Find me information about diabetes education	do you want help finding a medical doctor for diabetes education	1
are you referring to a certain philosohper	do you want information about espn sports personalities	0
are you interested in images of the kiwi fruit	how is a carotid cavernous fistula diagnosed	0
i can show you locations where you can buy organic products do you want me to do it	do you want to know when the first medical record was record	0
would you like to know what a weather strip is	are you interested in the causes	0
Looking for information about the Orange County Convention Center	do you need a hotel	1
are you looking for who invented the first instruments	do you want to know the symptoms of altitude sickness	0
How to cure angular cheilitis	are you looking for a common name for angular cheilitis	1
Tell me about Korean language.	are you looking for a dictionary	1
Tell me about kansas city mo	are you looking for an apartment in kansas city mo	1
would you like to know where to book a holiday? what country would you like your holiday to be in	would you like a list of new york hotels	0
What is a 403b?	would you like to know more about a 403b retirement account	1
is your volvo having a maintenance issue	which state of lymphoma in dogs are you referring to	0
Looking for information about the Orange County Convention Center	are you looking for things to do around that area	1
do you want to know how much a system costs in terms of increased electronic bills	do you want to know about worms in dogs	0
are you interested in images of the kiwi fruit	would you like to search museums about african american music history	0
are you trying to login to the boards website	did you want to know how to treat mad cow disease	0
Find information on Porterville.	are you looking for a hotel near porterville	1
would you like to know what the causes are	would you like to know the locations of tourists attractions in darmstadt	0
do you want to know why the food pyramid was created	do you want to learn how to install weather strips on doors	0
figs	are you interested in the fruit or are you looking for the clothing brand that sells scrubs	1
are you interested to fill a survey for them	do you want to know how to get to south africa	0
what event of the revolution do you want to know more about	do you want to know if a home remedy will work for everyone	0
are you interested in learning more about tuition costs for the american military university	would you like a list of quotes by mister rogers	0
Tell me about Neil Young.	are you looking for similar artists to neil young	1
do you want to learn how to make furniture	which dinosaurs are you interested in	0
are you wanting to renovate your home in order to have a theater system	are you referring to uncooked eggs or an egg product	0
is the ps 2 games for a child or an adult	which part of brazil do you need a map for	0
what are the popular jobs in Michigan	are you looking for michworks career information	1
tell me about iron	would you like to know about iron deficiencies	1
are you interested in the nicolas cage movie for which cage won the best actor oscar	are you interested in something specific about martha stewart and imclone	0
are you searching in relation to the event in bryant park	according to anima the bible or what other source	0
are you interested in digital pianos	are you looking for a recipe for grilled fish	0
are you interested in knowing what started the civil rights movement	are you interested in kansas city mo tourism	0
are you interested in the levels of dangers associated with asbsestos	would you like to know about environmental benefits of sustainable lead acid battery recycling	0
I'm looking for information on hobby stores	is this for a school craft or play	1
would you like to know what the causes are	would you like to know what the causes are	0
tell me about ct jobs	are you looking for listings with a particular skill set	1
which neighborhood in cass county are you interested in	do you want to know more about the voyager mission	0
would you like to know how much mercedes is worth	would you like to see trombones for beginners	0
are you looking for lab jobs	are you interested in the list of inuyasha characters	0
do you want pictures of old coins	are you looking for things to do while in madagascar	0
Give me information on OCD.	are you interested in ocd medications	1
do youwant to know what year idaho declared a state flower	are you looking for websites that describe angular cheilits	0
are you interesting in buying furniture	are you interested in ron howards life story and career highlights	0
do you want to learn how to install weater strips on windows	do you want to know if you can grow vines in shade	0
do you want movie reviews	are you looking for children coloring books	0
do you want information about fees for indexed annuities	did you want to know if there are activities for poem in your pocket day near you	0
what size motor does the ford edge with problems have	what level of experience swould the gold classes target	0
did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want	would you like to know barack obamas geneology	0
discovery channel store	are you needing store information	1
would you like news or social media posts on hurricane irene	are you wanting to compare sizes of home theater systems	0
do you want to know about short term or long term capital gains tax rate	are you interested in organ donation information	0
would you like to know more about pocono raceway	do you need a list of available new york hotels	0
What is von Willebrand Disease?	do you want to know how von willebrand disease is treated	1
Tell me about ps 2 games?	are you looking for stores to buy ps 2 games from	1
I'm looking for information on hobby stores	are you looking for hobby stores located in maryland	1
would you like to purchase tickets to view the painting in milan	are there any specific media type on your mind shall i play a video of tornadoes	0
map	are you on a road trip	1
there is a website of the ham radio outlet want to know the web address or swould i open it in your browser	do you want to know who owns the company imclone	0
are you trying to find out about the kcs mental health clinic	are you interested in learning more about the us map	0
Tell me information about Iowa's food stamp program	are you referring to a federally funded food stamp program or one that is funded by the state government	1
What is yahoo	are you referring to the search engine	1
are you interested in where they grow	are you interested in a specific part	0
When can I see Churchil Downs	are you interested in the racing schedule	1
where is basis of uss carl vilson	are you trying to find an airline	0
are you referring to the house elvis presley bought in 1956 or 1957	are you looking for information on plate tectonics and the lithosphere	0
who invented music	are you looking for who invented the first instruments	1
Where can I find information about forearm pain?	do you have forearm pain from typing	1
are you looking for furniture	are you looking for something to read	0
I need information on income tax return online	have you used jackson hewitt before	1
would you like to purchase tickets to view the painting in milan	would remedies using honey be what you are looking for	0
is your volvo having a maintenance issue	would you like to know symptoms that are concerning enough that you swould go to the emergency department	0
would you like to know more about ocd	are you interested in a particular manufacturer of teddy bears	0
do you need instructions for cooking rice	do you want to know about the first inhabitants of orcas island	0
do you want to rent or buy a condo	would you like to search museums about african american music history	0
would you like to know the advantages and disadvantages of a indexed annuity	does your forearm hurt from twisting	0
are you referring to malignant lipolysis	are you looking for webmd websites or mayo clinic websites about angular cheilits	0
Tell me about Starbucks.	are you interested in a specific nutritional information	1
do you need instructions for cooking rice	what time period are you looking for news coverage	0
would you like to know the current rate	do you want to see cookbooks for grilling	0
do you want to know how to avoid angular cheilitis	are you looking for ways to naturally boost your memory	0
do you want to know about short term or long term capital gains tax rate	do you want to compare prices for website hosting and design	0
would you like to compare specific ps 2 games	would you like to know the geological location of roosevelt island	0
are you interested in easy earth day activities	are you interested in downloading the album the wall	0
are you looking for butter and margarine comparison	would you like information on arizona wildlife	0
are you wondering about the history of pampered chef	what specific joint are you interested in	0
are you looking for the nearest location to buy a pressure washer	are you planning to organize a raffle for a specific event	0
which military generals fought in the battles your most interested in	would you like to know the different designs of hip roofs	0
do you need requirements for food stamps in iowa	would you like to know anything specific about rock music	0
are you interested in the history of the korean language	do you need information on accessories for the hp mini 2140	0
are you looking for specific products related to getting organized	are you looking for dining room furniture	0
Find information on Hoboken	are you looking for a specific web page	1
Tell me more about HP mini 2140	do you want to buy a hp mini 2140	1
what type of information about raised gardens are you looking for	do you want to file your income tax return through the internal revenue online	0
would you like to know about awards the uss cole has won	are you looking for information on the anatomy of horse hooves	0
What is martha stewart and imclone?	do you want to know who owns the company imclone	1
do you want a map of your local area	is there any specific type of product on your mind	0
I'd like to learn about moths	which type of moth are you looking for	1
are you looking for food in hoboken	is there any specific web page on your mind	0
would you like to know how butter and margarine affect the food you eat	would you like to search for a doctor for a carotid cavernous fistula treatment	0
What was electoral college 2008 results?	would you like a list of withdrawn candidates	1
Find me map of USA	would you like to know more about us roads	1
are you referring to the philosopher aristotole	what kind of burger do you want to know the calories of	0
which of the capital gains tax rate are you interested in	would you like to see articles about wedding budgeting	0
Tell me information about Volvo.	would you like to know what their rating is compare to other car companies	1
are you interested in pictures of worms	do you want to know where to find adobe indian houses	0
would you liketo know where kiwi fruit is grown	do you want information on the current us president	0
what is ralph owen brewsters education	what season of er are you interested in	0
I'm looking for information on the president of the united states	do you want to know how a us president is elected	1
do you want a tourist map	do you want a phone number	0
do you want a map of your local area	are you interested in the farm fresh tours	0
there is a website of the ham radio outlet want to know the web address or swould i open it in your browser	would you like to check the weather for traverse city	0
are you looking for the stock symbol avp	are you wondering what causes sore throat	0
do you wish to hear about the rumoured curse of the bewitched cast	what theme of halloween are you looking for	0
are you looking for reviews of gps apps	do you want to access yahoo mail	0
I’m looking for blue throated hummingbird	would you like to know where you can find them	1
did you want to know the amount of tourism dutchess county gets	are you looking for different kinds of djs	0
I'm looking for information on dieting	would you like to know more about dieting products for weight loss	1
are you wanting to renovate your home in order to have a theater system	are you looking for a specific insurance company	0
would you like to read news material and bulletins from the maryland department of natural resources	would you like the history of indiana state fairgrounds	0
would you like to see a price range for appraisals	would you like tutorials on how to set up ham radio	0
would you like to know about health problems that arise from exposure to asbestos	what kind of information do you need about rock and gem shows	0
What is Poem in Your Pocket Day?	did you want to know if there are activities for poem in your pocket day near you	1
would you like to know what a weather strip is	would you like to know symptoms that are concerning enough that you swould go to the emergency department	0
Tell me about cell phones.	would you like an unlocked phone	1
what year do you want to know the president for	are you wanting the rates for the ritz carlton in las vegas	0
How can one can become highway patrol	do you want to know if the tennessee highway patrol has reported any accidents	1
do you need traveling assistance or direction	would you like to see the final electoral college results or the entire process	0
figs	would you like to watch videos about how figs grow andor how to prepare them	1
would you like to see a price range for appraisals	how fast would you like to lose weight	0
Tell me about avp	would you like information about the association of volleyball professionals	1
I'm interested in dinosaurs	are you looking for meat eating or plant eating dinosaurs	1
what type of information about raised gardens are you looking for	what nba players are you interested in	0
i looking for current positions	do you want black and white or colored designs	0
are you referring to a certain philosohper	what type of equipment do you have to look for them	0
Tell me more about satilies	are you looking for a company which provides internet services	1
I need information on income tax return online	are you looking for a specific web site	1
I am looking for sources of used car parts.	are you looking for the nearest junck yard	1
are you looking for attractions near porterville	would you like to know specific products from the company bobcat	0
would you like a list of websites that show workouts for elliptical trainers	are you interested in where in alabama indian tribes lived	0
there is a website of the ham radio outlet want to know the web address or swould i open it in your browser	are you looking for a list of clubs that host rock and gem shows	0
How to prepare for the GMAT?	do you want to know the cost of a gmat prep class	1
Where should I order dog clean-up bags	do you want to know the cost	1
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	do you need information about medical services	0
would you like to know the home port of the uss carl vinson	are you looking for pasta dishes that can be made using cannellini beans	0
Tell me about Starbucks.	are you looking for specific information about starbucks gift cards	1
Tell about an adobe indian house?	do you want to know where to find adobe indian houses	1
are you wanting to renovate your home in order to have a theater system	would you like to know the weather at sangre de cristo mountains	0
would you like to buy the book the art of war	do you want to see pictures of what wilsons disease looks like	0
are you looking for furniture	do you want to know about treatments	0
Give me espn sports information.	are you looking for information on a specific sport	1
are you interested in buying tickets to a raffle	do you want to know how civilians supported the battles in south carolina	0
tell me about memory	are you interested in the type of memories	1
Find information on raised gardens.	are you looking for any specific photos	1
are you looking for lab jobs	want to learn about trusses for such a roof	0
what are continental plates	is there a certain area that you need information on specifically	1
would you like to file your income tax return online	would you like to know about its diseases	0
Find me information about PVC	are you looking to buy pvc pipe	1
would you like to read news material and bulletins from the maryland department of natural resources	are you interested in news archives	0
I'd like to learn about lymphoma in dogs	are you looking for the symptoms of lymphoma in dogs	1
would you like to know more about pocono raceway	are you looking for current news about afghanistan	0
do you want to know how many different types of worms there are	do you want to know how many different types of worms there are	0
Give me information on OCD.	do you want to know the symptoms of ocd	1
are you wanting writings by the pastor	do you need directions to the indiana state fairgrounds	0
do you want to know who the main actor is in er tv show	do you want to learn how to recycle lead acid batteries	0
are you referring to the voyager 1 or voyager 2	are you looking for the american civil war	0
are you interested in an online site for diabetes	are you looking for benefits of an elliptical trainer vs other fitness machines	0
are you looking for a paper version of us map	are you looking for a specific website	0
are you interested in purchasing the book	are you referring to bellevue iowa	0
I'm looking for information about mayo clinic Jacksonville FL	would you like to request an appointment	1
are you interested in the cost of living in india	are you looking to buy a volvo	0
are you looking for information about the sports facilities at the school	would you like information on filing income taxes	0
would you like to file your income tax return online	is this for mobility or fun	0
I'm looking for information on web design and hosting.	what aspect of website desgin hosting are you interested in	1
are you looking for signs to expect	are you looking for signs to expect	0
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	where are you looking to mount the antenna	0
Information about bobcat	would you like to know the habitat of the bobcat	1
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	0
would you like the instructions for electronic skeet shoot	do you want to make an appointment with doctor zhivago	0
are you interested in moth life cycle	would you like the history of south africa	0
do you need instructions for cooking rice	do you want to know what channel espn is	0
do you want to know how much dark chocolate you swould have for a day	do you need information in different types that can be made	0
tell me about evidence for evolution	would you like the evolution of men or women	1
do you want to sell used car parts	would you like to know what to eat to live healthy	0
do you need printable poems	what breed of bobcat are you looking for more information about	0
Tell me about texas border patrol.	do you want to apply for a job here	1
Tell me more about Rocky Mountain News	are you looking for information regarding the rocky mountain range	1
would you like to see a company with this name	are you looking for reviews of djs	0
are you referring to the house elvis presley bought in 1956 or 1957	are you referring to the house elvis presley bought in 1956 or 1957	0
Tell me about madam cj walker	are you looking for her whereabouts	1
are you interested in buying some	would you like to see trombones for beginners	0
Tell me about scooters.	are you looking for locations that have the scooters	1
Tell about an adobe indian house?	do you want to learn how an adobe indian house is made	1
do you want to know the cost of the commonly used drug	are you referring to the move	0
would you like to know where it originates from	are you interested in the age breakdown of common hip fracture sufferers	0
do you need instructions on how to dye your hair	how much weight do you want to lose while dieting	0
would you like to know the current rate	are you looking to use butter and margarine in baking	0
Tell me about Neil Young.	do you want to find related artists	1
would you like to purchase tickets to view the painting in milan	do you want to know how to obtain someones credit report	0
are you looking to rent a scooter	are you trying to find out what worms eat	0
are you a dj	how about some organizing tips	0
would you like to know how butter and margarine affect the food you eat	would you like a list of rock and gem shows in 2019	0
would you like to know about potential cures for wilsons disease	do you want to see a picture of atypical squamous cells	0
which part of cass county are you referring to	are you trying to find out the difference between 401k and 403b	0
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	are you interested in seeing balding cure medications	0
tell me about iron	would you like to know about iron deficiencies	1
are you really reffering to mothra	are you looking for a political debate	0
do you want interpretation of running down	would you like to know where fickle creek farm is on a map	0
What is California Franchise Tax Board	do you want a phone number	1
are you interested in the signs one may show for mad cow disease	are you looking for east ridge high school activities	0
Information about bobcat	are you interested in american bobcats	1
tell me about rice?	what type of rice dish are you looking for	1
do you want to renew a drivers license	do you know what color of hair dye to use	0
would you like to know if hes chinese of japanese	do you want to know the middle name for a specific president of the united states	0
would you like to compare specific ps 2 games	would you like history from this device alone or would you like history from all devices	0
do you need a home appraisal	how much damage can f5 tornado take	0
are you curious about the size	do you want the history of fickle creek farm	0
I'm looking for information on jax chemical company	would you like to place an order	1
would you like to see a list of new released ps2 games	do you want the contact info for alexian brothers hospital	0
are you interesting in buying furniture	would you like to find a plane ticket to barbados	0
do you want to know who the main actor is in er tv show	which famouss f5 tornado are you interested in learning more about	0
tell me about wilson antenna	would you like to know about where to purchase a wilson antenna	1
What is a 403b?	do you want to know 403b contribution limits in 2018	1
do you want information on treatments for fibromyalgia	do you want to get the link to apply to be a amazon turkey worker	0
where can i read about uss carl vilson	are you looking for merchandise catalog	0
do you want to buy old coins	what category are you searching for raffles in	0
are you looking for information on how its scored	would you like to become a paralegal	0
what place do you want a map of	are you looking for specific products related to getting organized	0
what year do you want to know the president for	did you want to know if there are activities for poem in your pocket day near you	0
are you interested in downloading the album the wall	would you like to learn about tractors	0
are you trying to learn the korean language	are you looking for the nearest store you can buy hp mini 2140	0
would you like to know where to book a holiday? what country would you like your holiday to be in	do you need numbers to retailers of this product	0
what type of toilet are you looking for	what is the salary range of a land surveyor	0
How can I adopt a dog	what breed of dogs are you looking for	1
Tell me more about horse hooves	do you need your horses hooves trimmed	1
would you like to become a pampered chef consultant	is there a certain type of dj you are looking for	0
are you interested in images of the kiwi fruit	would you like to see info about the kansas city southern railway	0
do you want to know who the people were who started the civil rights movement	do you need to know the date for 2019	0
would you like to see news about culpeper national cemetary	is there a particular gender of human	0
would you like to know what age men may start male menopause	would you be interested in learning more about martha stewart and imclones history	0
do you want general information about the test	what do you want to know about the uss cole	0
Find information from the milwaukee journal sentinel.	are you interested in a subscription to the milwaukee journal sentinel	1
are you looking to purchase a home theater system	are you interested in east ridge high school latest news	0
Child support in Indiana?	do you want to know about a specific indiana child support law	1
I'm interested in poker tournaments	do you want to know how poker tournaments are played	1
do you want reviews of french lick resort and casino	do you want reviews of french lick resort and casino	0
are you interested to fill a survey for them	which one of the current 893 essential songs do you like	0
did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want	are you looking for the color in combination	0
Find information on Porterville.	are you wondering where porterville is	1
what year do you want to know the president for	would you like information about the association of volleyball professionals	0
do you want to know about companies that provide indexed annuities	are you looking for specific information on solar power	0
Tell me about the pacific northwest laboratory.	do you need any specific information about pnl	1
do you want to know what electronic skeet shoot is	are you interested in finding out the rates for indexed annutiies	0
would you like to find an app for wedding budgeting	would you like to know more about the russian civil war	0
would you like to know how butter and margarine affect the food you eat	would you like to know the definition of the word mean	0
do you want a tourist map	what local rock and gem shows are you looking for from this list	0
which dinosaurs are you interested in	are you interested in any specific city in florida	0
what is the best long term care insurance	are you interested in getting a quote for coverage	1
are you looking for home remedies	do you want to know what ketones are	0
do you want general information about the test	are you interested in a certain length of pvc pipe	0
will this be a tall fence or short fence	are you referring to a sports team that wears these colors on their uniform or logo	0
would you like to know maore about getting the best used car parts	are you trying to look up the constitution	0
Find information about living in India.	do you want to see pros and cons of living in india	1
are you looking to find out what game platforms you can play the beatles rock bank game on	are you interested in digital pianos	0
Tell me more about USA tax for annuity	do you want to know how an indexed annuity works	1
would you like to know what a weather strip is	what kind of medium do you want this information to be in	0
would you like to see a price range for appraisals	would you like a list of dinosaur movies	0
Tell me about black history.	how far back do you want to learn about black history	1
Tell me more about indiana state fairgrounds.	do you need an event schedule for the indiana state fairgrounds	1
Tell me about vanuatu	do you want to know the population	1
all men are created equal	are you looking for declaration of independence at the national archives	1
what is the best long term care insurance	would you like to buy a book on the best types of best long term insurances and learn more about it	1
Information about bobcat	would you like to know the habitat of the bobcat	1
Information about east ridge high school.	are you looking for a specific web site	1
are you considering purchasing an indexed annuity	are you looking for a free internet phone service	0
are you trying to learn the korean language	would you like to read some reviews about american military university	0
are you interested in who is the ceo	are you interested in who is the ceo	0
do you want some quotes from the movie	woud you like a list of items made from iron	0
where to go if I made a crime in Brazil	do you want a map of the roads in brazil	1
Find information about the wall	do you want to contribute to the gofundme campaign to fund the wall	1
Tell me more about dnr	do you want to know if dnr is legal where you live	1
which treatments are you looking for at mayo clinic jacksonville fl	which animal are you interested in knowing about in regards to von willebrand disease	0
do you want to take a sat prep class	do you need directions to ontario california airport	0
do you want to rent or buy a condo	are you looking for flights to vanuatu	0
what do you need to know about wilsons disease	would you like to know where it originates from	0
Tell me about furniture for small spaces.	have you got any specific question regarding furniture size	1
Tell me about Obama family tree.	are you interested in seeing barack obamas family	1
are you looking for the history of butter and margarine	would you like to see the cooking temperature of pork tenderloin	0
are you looking for a hotel near porterville	are you looking for a hotel near porterville	0
Find information on Hoboken	are you looking for food in hoboken	1
are you looking to find a djs website	would you like highly rated reviews	0
would you like to know about health problems that arise from exposure to asbestos	are you interested in how the uss carl vinson got its name	0
would you like to buy supplements	are you talking about the stock price of the giant	0
would you like to cook the beef stroganoff in an instant pot or do you prefer an oven	what area of your home would you like to organize	0
Tell me about hotels in New York.	are you interested in new york hotel prices	1
I'm looking for information on the beatles rock band	are you trying to purchase the beatles rock band game	1
Tell me about Barbados.	are you interested in the history of barbados	1
are you interested in how african american music influenced american culture	would you like to know the history of the bowflex power pro	0
are you trying to login to the boards website	do you need a tool to design the site	0
what type of toilet are you looking for	do you want to find a nearby recycling center that can accept thise batteries	0
would you like to buy stencils online	which type of von willebrand disease do you want information about	0
do you want to rent or buy a condo	what would you like to know about horse hooves	0
are you interested in digital pianos	do you need the address of east ridge high school	0
are you interested in purchasing the book	are you interested in nba records for this season or all of history	0
are you interested in learning more about tuition costs for the american military university	are you referring to a specific company	0
tell me about mgb	are you looking for how to use mgb	1
Give me information about Titan.	are you referring to the monster from the final fantasy series	1
I'm looking for universal animal cuts reviews	did you want to know if the price was worth it	1
is your volvo having a maintenance issue	which military generals fought in the battles your most interested in	0
do you want reviews of french lick resort and casino	are you interested in the best priced long term care insurance or best coverage	0
which city in arkansas are you interested in	are you interested in an advanced treatment above ground design	0
are you looking for reviews of gps apps	do you want to know the colors of unc	0
tell me about UNC	would you like information on the university of north carolina unc	1
are you searching in relation to the event in bryant park	are you referring to a mathematical function	0
